madde_id,kac,kelime_no,cesit,anlam_gor,on_taki,madde,cesit_say,anlam_say,taki,cogul_mu,ozel_mi,lisan_kodu,lisan,telaffuz,birlesikler,font,madde_duz,gosterim_tarihi,anlamlarListe,atasozu
56007,0,44591,0,0,,saymamazlık,0,1,ğı,0,0,0,,,,,saymamazlik,,"[{'anlam_id': '75326', 'madde_id': '56007', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Saygı göstermeme durumu, saymazlık', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
56008,0,44592,0,0,,sayman,0,1,,0,0,0,,,,,sayman,,"[{'anlam_id': '75327', 'madde_id': '56008', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Bir kurum, kuruluş vb.nin hesap işleriyle uğraşan kimse, muhasebeci, muhasip', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
56009,0,44593,0,0,,saymanlık,0,1,ğı,0,0,0,,,,,saymanlik,,"[{'anlam_id': '75328', 'madde_id': '56009', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Hesap işlerinin görüldüğü yer, muhasiplik', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
56010,0,44594,0,0,,saymazlık,0,1,ğı,0,0,0,,,,,saymazlik,,"[{'anlam_id': '75329', 'madde_id': '56010', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Saymamazlık', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
56011,0,44595,0,0,,sayrı,0,1,,0,0,0,,,sayrılarevi,,sayri,,"[{'anlam_id': '75330', 'madde_id': '56011', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Hasta', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}, {'ozellik_id': '31', 'tur': '4', 'tam_adi': 'eskimiş', 'kisa_adi': 'esk.', 'ekno': '42'}]}]",
56012,0,44596,0,0,,sayrıl,0,1,,0,0,0,,,,,sayril,,"[{'anlam_id': '75331', 'madde_id': '56012', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Hastalıkla ilgili, marazi', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}, {'ozellik_id': '31', 'tur': '4', 'tam_adi': 'eskimiş', 'kisa_adi': 'esk.', 'ekno': '42'}]}]",
56013,0,44597,0,0,,sayrılarevi,0,1,,0,0,0,,sayrıla'revi,,,sayrilarevi,,"[{'anlam_id': '75332', 'madde_id': '56013', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Hastane', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
56014,0,44598,0,0,,sayrılık,0,2,ğı,0,0,0,,,,,sayrilik,,"[{'anlam_id': '75333', 'madde_id': '56014', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Hastalık', 'gos': '0', 'orneklerListe': [{'ornek_id': '24470', 'anlam_id': '75333', 'ornek_sira': '1', 'ornek': 'Bende gizli bir sayrılık olduğunu o zaman anladım.', 'kac': '1', 'yazar_id': '193', 'yazar': [{'yazar_id': '193', 'tam_adi': 'Adalet Ağaoğlu', 'kisa_adi': 'A. Ağaoğlu', 'ekno': '412'}]}], 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}, {'anlam_id': '75334', 'madde_id': '56014', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'Aşırı düşkünlük, tutku', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '32', 'tur': '4', 'tam_adi': 'mecaz', 'kisa_adi': 'mec.', 'ekno': '43'}]}]",
56015,0,44599,0,0,,sayrımsak,0,1,,0,0,0,,,,,sayrimsak,,"[{'anlam_id': '75335', 'madde_id': '56015', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Gerçekte hasta olmadığı hâlde kendini hasta gösteren', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}]}]",
56016,0,44600,0,0,,sayrımsama,0,1,,0,0,0,,,,,sayrimsama,,"[{'anlam_id': '75336', 'madde_id': '56016', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Sayrımsamak işi, temaruz', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
