madde_id,kac,kelime_no,cesit,anlam_gor,on_taki,madde,cesit_say,anlam_say,taki,cogul_mu,ozel_mi,lisan_kodu,lisan,telaffuz,birlesikler,font,madde_duz,gosterim_tarihi,anlamlarListe,atasozu
40005,0,25891,1,0,,it ağzını kemik tutar,0,1,,0,0,0,,,,,it agzini kemik tutar,,"[{'anlam_id': '44909', 'madde_id': '40005', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': '`aşağılık bir kimsenin ağzını kapamak için ona bir çıkar sağlamak yeter` anlamında kullanılan bir söz', 'gos': '0'}]","[{'madde_id': '40006', 'madde': 'it değmekle deniz pis olmaz', 'on_taki': None}, {'madde_id': '40007', 'madde': 'it derisinden post olmaz', 'on_taki': None}, {'madde_id': '40008', 'madde': 'it dişi domuz derisi', 'on_taki': None}, {'madde_id': '40014', 'madde': 'ite atsan yemez', 'on_taki': None}, {'madde_id': '40015', 'madde': 'ite ot, ata et vermek', 'on_taki': None}, {'madde_id': '40009', 'madde': 'it gibi çalışmak', 'on_taki': None}, {'madde_id': '40016', 'madde': 'iti an, taşı eline al (veya çomağı hazırla)', 'on_taki': None}, {'madde_id': '40024', 'madde': 'iti ite kırdırmak', 'on_taki': None}, {'madde_id': '40017', 'madde': 'itin ahmağı baklavadan pay umar', 'on_taki': None}, {'madde_id': '40027', 'madde': 'itin götüne (veya kıçına) sokmak', 'on_taki': None}, {'madde_id': '40028', 'madde': 'itin kuyruğunda', 'on_taki': None}, {'madde_id': '40026', 'madde': 'iti öldürene sürütürler', 'on_taki': None}, {'madde_id': '40010', 'madde': 'it ite (buyurur), it de kuyruğuna', 'on_taki': None}, {'madde_id': '40025', 'madde': 'it iti ısırmaz', 'on_taki': None}, {'madde_id': '40011', 'madde': 'it izi at izine karışmak', 'on_taki': None}, {'madde_id': '40018', 'madde': 'it kağnı gölgesinde yürür de kendi gölgesi sanırmış', 'on_taki': None}, {'madde_id': '40020', 'madde': 'itle çuvala girilmez', 'on_taki': None}, {'madde_id': '40023', 'madde': 'itle dalaşmaktan çalıyı dolaşmak yeğdir', 'on_taki': None}, {'madde_id': '40019', 'madde': 'it ölüsü gibi', 'on_taki': None}, {'madde_id': '40021', 'madde': 'it sürü, para kazan', 'on_taki': None}, {'madde_id': '40012', 'madde': 'it sürüsü kadar', 'on_taki': None}, {'madde_id': '40022', 'madde': 'it ulur, birbirini bulur', 'on_taki': None}, {'madde_id': '40013', 'madde': 'it ürür, kervan yürür', 'on_taki': None}]"
40006,0,25891,2,0,,it değmekle deniz pis olmaz,0,1,,0,0,0,,,,,it degmekle deniz pis olmaz,,"[{'anlam_id': '44910', 'madde_id': '40006', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': '`doğruluğuna, dürüstlüğüne herkesin inandığı bir kimse, aşağılık kimselerin atmak istedikleri çamurla kirletilemez` anlamında kullanılan bir söz', 'gos': '0'}]","[{'madde_id': '40005', 'madde': 'it ağzını kemik tutar', 'on_taki': None}, {'madde_id': '40007', 'madde': 'it derisinden post olmaz', 'on_taki': None}, {'madde_id': '40008', 'madde': 'it dişi domuz derisi', 'on_taki': None}, {'madde_id': '40014', 'madde': 'ite atsan yemez', 'on_taki': None}, {'madde_id': '40015', 'madde': 'ite ot, ata et vermek', 'on_taki': None}, {'madde_id': '40009', 'madde': 'it gibi çalışmak', 'on_taki': None}, {'madde_id': '40016', 'madde': 'iti an, taşı eline al (veya çomağı hazırla)', 'on_taki': None}, {'madde_id': '40024', 'madde': 'iti ite kırdırmak', 'on_taki': None}, {'madde_id': '40017', 'madde': 'itin ahmağı baklavadan pay umar', 'on_taki': None}, {'madde_id': '40027', 'madde': 'itin götüne (veya kıçına) sokmak', 'on_taki': None}, {'madde_id': '40028', 'madde': 'itin kuyruğunda', 'on_taki': None}, {'madde_id': '40026', 'madde': 'iti öldürene sürütürler', 'on_taki': None}, {'madde_id': '40010', 'madde': 'it ite (buyurur), it de kuyruğuna', 'on_taki': None}, {'madde_id': '40025', 'madde': 'it iti ısırmaz', 'on_taki': None}, {'madde_id': '40011', 'madde': 'it izi at izine karışmak', 'on_taki': None}, {'madde_id': '40018', 'madde': 'it kağnı gölgesinde yürür de kendi gölgesi sanırmış', 'on_taki': None}, {'madde_id': '40020', 'madde': 'itle çuvala girilmez', 'on_taki': None}, {'madde_id': '40023', 'madde': 'itle dalaşmaktan çalıyı dolaşmak yeğdir', 'on_taki': None}, {'madde_id': '40019', 'madde': 'it ölüsü gibi', 'on_taki': None}, {'madde_id': '40021', 'madde': 'it sürü, para kazan', 'on_taki': None}, {'madde_id': '40012', 'madde': 'it sürüsü kadar', 'on_taki': None}, {'madde_id': '40022', 'madde': 'it ulur, birbirini bulur', 'on_taki': None}, {'madde_id': '40013', 'madde': 'it ürür, kervan yürür', 'on_taki': None}]"
40007,0,25891,3,0,,it derisinden post olmaz,0,1,,0,0,0,,,,,it derisinden post olmaz,,"[{'anlam_id': '44911', 'madde_id': '40007', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': '`aşağılık kimse veya şey, yüce ve temiz bir amaca hizmet edemez` anlamında kullanılan bir söz', 'gos': '0'}]","[{'madde_id': '40005', 'madde': 'it ağzını kemik tutar', 'on_taki': None}, {'madde_id': '40006', 'madde': 'it değmekle deniz pis olmaz', 'on_taki': None}, {'madde_id': '40008', 'madde': 'it dişi domuz derisi', 'on_taki': None}, {'madde_id': '40014', 'madde': 'ite atsan yemez', 'on_taki': None}, {'madde_id': '40015', 'madde': 'ite ot, ata et vermek', 'on_taki': None}, {'madde_id': '40009', 'madde': 'it gibi çalışmak', 'on_taki': None}, {'madde_id': '40016', 'madde': 'iti an, taşı eline al (veya çomağı hazırla)', 'on_taki': None}, {'madde_id': '40024', 'madde': 'iti ite kırdırmak', 'on_taki': None}, {'madde_id': '40017', 'madde': 'itin ahmağı baklavadan pay umar', 'on_taki': None}, {'madde_id': '40027', 'madde': 'itin götüne (veya kıçına) sokmak', 'on_taki': None}, {'madde_id': '40028', 'madde': 'itin kuyruğunda', 'on_taki': None}, {'madde_id': '40026', 'madde': 'iti öldürene sürütürler', 'on_taki': None}, {'madde_id': '40010', 'madde': 'it ite (buyurur), it de kuyruğuna', 'on_taki': None}, {'madde_id': '40025', 'madde': 'it iti ısırmaz', 'on_taki': None}, {'madde_id': '40011', 'madde': 'it izi at izine karışmak', 'on_taki': None}, {'madde_id': '40018', 'madde': 'it kağnı gölgesinde yürür de kendi gölgesi sanırmış', 'on_taki': None}, {'madde_id': '40020', 'madde': 'itle çuvala girilmez', 'on_taki': None}, {'madde_id': '40023', 'madde': 'itle dalaşmaktan çalıyı dolaşmak yeğdir', 'on_taki': None}, {'madde_id': '40019', 'madde': 'it ölüsü gibi', 'on_taki': None}, {'madde_id': '40021', 'madde': 'it sürü, para kazan', 'on_taki': None}, {'madde_id': '40012', 'madde': 'it sürüsü kadar', 'on_taki': None}, {'madde_id': '40022', 'madde': 'it ulur, birbirini bulur', 'on_taki': None}, {'madde_id': '40013', 'madde': 'it ürür, kervan yürür', 'on_taki': None}]"
40008,0,25891,4,0,,it dişi domuz derisi,0,1,,0,0,0,,,,,it disi domuz derisi,,"[{'anlam_id': '44912', 'madde_id': '40008', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'sevilmeyen iki kişi arasındaki anlaşmazlıktan duyulan hoşnutluğu anlatan bir söz', 'gos': '0'}]","[{'madde_id': '40005', 'madde': 'it ağzını kemik tutar', 'on_taki': None}, {'madde_id': '40006', 'madde': 'it değmekle deniz pis olmaz', 'on_taki': None}, {'madde_id': '40007', 'madde': 'it derisinden post olmaz', 'on_taki': None}, {'madde_id': '40014', 'madde': 'ite atsan yemez', 'on_taki': None}, {'madde_id': '40015', 'madde': 'ite ot, ata et vermek', 'on_taki': None}, {'madde_id': '40009', 'madde': 'it gibi çalışmak', 'on_taki': None}, {'madde_id': '40016', 'madde': 'iti an, taşı eline al (veya çomağı hazırla)', 'on_taki': None}, {'madde_id': '40024', 'madde': 'iti ite kırdırmak', 'on_taki': None}, {'madde_id': '40017', 'madde': 'itin ahmağı baklavadan pay umar', 'on_taki': None}, {'madde_id': '40027', 'madde': 'itin götüne (veya kıçına) sokmak', 'on_taki': None}, {'madde_id': '40028', 'madde': 'itin kuyruğunda', 'on_taki': None}, {'madde_id': '40026', 'madde': 'iti öldürene sürütürler', 'on_taki': None}, {'madde_id': '40010', 'madde': 'it ite (buyurur), it de kuyruğuna', 'on_taki': None}, {'madde_id': '40025', 'madde': 'it iti ısırmaz', 'on_taki': None}, {'madde_id': '40011', 'madde': 'it izi at izine karışmak', 'on_taki': None}, {'madde_id': '40018', 'madde': 'it kağnı gölgesinde yürür de kendi gölgesi sanırmış', 'on_taki': None}, {'madde_id': '40020', 'madde': 'itle çuvala girilmez', 'on_taki': None}, {'madde_id': '40023', 'madde': 'itle dalaşmaktan çalıyı dolaşmak yeğdir', 'on_taki': None}, {'madde_id': '40019', 'madde': 'it ölüsü gibi', 'on_taki': None}, {'madde_id': '40021', 'madde': 'it sürü, para kazan', 'on_taki': None}, {'madde_id': '40012', 'madde': 'it sürüsü kadar', 'on_taki': None}, {'madde_id': '40022', 'madde': 'it ulur, birbirini bulur', 'on_taki': None}, {'madde_id': '40013', 'madde': 'it ürür, kervan yürür', 'on_taki': None}]"
40009,0,25891,5,0,,it gibi çalışmak,0,1,,0,0,0,,,,,it gibi calismak,,"[{'anlam_id': '44913', 'madde_id': '40009', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'çok çalışmak', 'gos': '0'}]","[{'madde_id': '40005', 'madde': 'it ağzını kemik tutar', 'on_taki': None}, {'madde_id': '40006', 'madde': 'it değmekle deniz pis olmaz', 'on_taki': None}, {'madde_id': '40007', 'madde': 'it derisinden post olmaz', 'on_taki': None}, {'madde_id': '40008', 'madde': 'it dişi domuz derisi', 'on_taki': None}, {'madde_id': '40014', 'madde': 'ite atsan yemez', 'on_taki': None}, {'madde_id': '40015', 'madde': 'ite ot, ata et vermek', 'on_taki': None}, {'madde_id': '40016', 'madde': 'iti an, taşı eline al (veya çomağı hazırla)', 'on_taki': None}, {'madde_id': '40024', 'madde': 'iti ite kırdırmak', 'on_taki': None}, {'madde_id': '40017', 'madde': 'itin ahmağı baklavadan pay umar', 'on_taki': None}, {'madde_id': '40027', 'madde': 'itin götüne (veya kıçına) sokmak', 'on_taki': None}, {'madde_id': '40028', 'madde': 'itin kuyruğunda', 'on_taki': None}, {'madde_id': '40026', 'madde': 'iti öldürene sürütürler', 'on_taki': None}, {'madde_id': '40010', 'madde': 'it ite (buyurur), it de kuyruğuna', 'on_taki': None}, {'madde_id': '40025', 'madde': 'it iti ısırmaz', 'on_taki': None}, {'madde_id': '40011', 'madde': 'it izi at izine karışmak', 'on_taki': None}, {'madde_id': '40018', 'madde': 'it kağnı gölgesinde yürür de kendi gölgesi sanırmış', 'on_taki': None}, {'madde_id': '40020', 'madde': 'itle çuvala girilmez', 'on_taki': None}, {'madde_id': '40023', 'madde': 'itle dalaşmaktan çalıyı dolaşmak yeğdir', 'on_taki': None}, {'madde_id': '40019', 'madde': 'it ölüsü gibi', 'on_taki': None}, {'madde_id': '40021', 'madde': 'it sürü, para kazan', 'on_taki': None}, {'madde_id': '40012', 'madde': 'it sürüsü kadar', 'on_taki': None}, {'madde_id': '40022', 'madde': 'it ulur, birbirini bulur', 'on_taki': None}, {'madde_id': '40013', 'madde': 'it ürür, kervan yürür', 'on_taki': None}]"
40010,0,25891,6,0,,"it ite (buyurur), it de kuyruğuna",0,1,,0,0,0,,,,,"it ite (buyurur), it de kuyruguna",,"[{'anlam_id': '44914', 'madde_id': '40010', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': '`işi yapmak istemeyen onu mutlaka başkasına ısmarlar` anlamında kullanılan bir söz', 'gos': '0'}]","[{'madde_id': '40005', 'madde': 'it ağzını kemik tutar', 'on_taki': None}, {'madde_id': '40006', 'madde': 'it değmekle deniz pis olmaz', 'on_taki': None}, {'madde_id': '40007', 'madde': 'it derisinden post olmaz', 'on_taki': None}, {'madde_id': '40008', 'madde': 'it dişi domuz derisi', 'on_taki': None}, {'madde_id': '40014', 'madde': 'ite atsan yemez', 'on_taki': None}, {'madde_id': '40015', 'madde': 'ite ot, ata et vermek', 'on_taki': None}, {'madde_id': '40009', 'madde': 'it gibi çalışmak', 'on_taki': None}, {'madde_id': '40016', 'madde': 'iti an, taşı eline al (veya çomağı hazırla)', 'on_taki': None}, {'madde_id': '40024', 'madde': 'iti ite kırdırmak', 'on_taki': None}, {'madde_id': '40017', 'madde': 'itin ahmağı baklavadan pay umar', 'on_taki': None}, {'madde_id': '40027', 'madde': 'itin götüne (veya kıçına) sokmak', 'on_taki': None}, {'madde_id': '40028', 'madde': 'itin kuyruğunda', 'on_taki': None}, {'madde_id': '40026', 'madde': 'iti öldürene sürütürler', 'on_taki': None}, {'madde_id': '40025', 'madde': 'it iti ısırmaz', 'on_taki': None}, {'madde_id': '40011', 'madde': 'it izi at izine karışmak', 'on_taki': None}, {'madde_id': '40018', 'madde': 'it kağnı gölgesinde yürür de kendi gölgesi sanırmış', 'on_taki': None}, {'madde_id': '40020', 'madde': 'itle çuvala girilmez', 'on_taki': None}, {'madde_id': '40023', 'madde': 'itle dalaşmaktan çalıyı dolaşmak yeğdir', 'on_taki': None}, {'madde_id': '40019', 'madde': 'it ölüsü gibi', 'on_taki': None}, {'madde_id': '40021', 'madde': 'it sürü, para kazan', 'on_taki': None}, {'madde_id': '40012', 'madde': 'it sürüsü kadar', 'on_taki': None}, {'madde_id': '40022', 'madde': 'it ulur, birbirini bulur', 'on_taki': None}, {'madde_id': '40013', 'madde': 'it ürür, kervan yürür', 'on_taki': None}]"
40011,0,25891,7,0,,it izi at izine karışmak,0,1,,0,0,0,,,,,it izi at izine karismak,,"[{'anlam_id': '44915', 'madde_id': '40011', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'at izi it izine karışmak', 'gos': '0'}]","[{'madde_id': '40005', 'madde': 'it ağzını kemik tutar', 'on_taki': None}, {'madde_id': '40006', 'madde': 'it değmekle deniz pis olmaz', 'on_taki': None}, {'madde_id': '40007', 'madde': 'it derisinden post olmaz', 'on_taki': None}, {'madde_id': '40008', 'madde': 'it dişi domuz derisi', 'on_taki': None}, {'madde_id': '40014', 'madde': 'ite atsan yemez', 'on_taki': None}, {'madde_id': '40015', 'madde': 'ite ot, ata et vermek', 'on_taki': None}, {'madde_id': '40009', 'madde': 'it gibi çalışmak', 'on_taki': None}, {'madde_id': '40016', 'madde': 'iti an, taşı eline al (veya çomağı hazırla)', 'on_taki': None}, {'madde_id': '40024', 'madde': 'iti ite kırdırmak', 'on_taki': None}, {'madde_id': '40017', 'madde': 'itin ahmağı baklavadan pay umar', 'on_taki': None}, {'madde_id': '40027', 'madde': 'itin götüne (veya kıçına) sokmak', 'on_taki': None}, {'madde_id': '40028', 'madde': 'itin kuyruğunda', 'on_taki': None}, {'madde_id': '40026', 'madde': 'iti öldürene sürütürler', 'on_taki': None}, {'madde_id': '40010', 'madde': 'it ite (buyurur), it de kuyruğuna', 'on_taki': None}, {'madde_id': '40025', 'madde': 'it iti ısırmaz', 'on_taki': None}, {'madde_id': '40018', 'madde': 'it kağnı gölgesinde yürür de kendi gölgesi sanırmış', 'on_taki': None}, {'madde_id': '40020', 'madde': 'itle çuvala girilmez', 'on_taki': None}, {'madde_id': '40023', 'madde': 'itle dalaşmaktan çalıyı dolaşmak yeğdir', 'on_taki': None}, {'madde_id': '40019', 'madde': 'it ölüsü gibi', 'on_taki': None}, {'madde_id': '40021', 'madde': 'it sürü, para kazan', 'on_taki': None}, {'madde_id': '40012', 'madde': 'it sürüsü kadar', 'on_taki': None}, {'madde_id': '40022', 'madde': 'it ulur, birbirini bulur', 'on_taki': None}, {'madde_id': '40013', 'madde': 'it ürür, kervan yürür', 'on_taki': None}]"
40012,0,25891,8,0,,it sürüsü kadar,0,1,,0,0,0,,,,,it surusu kadar,,"[{'anlam_id': '44916', 'madde_id': '40012', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'çok kalabalık', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '38', 'tur': '4', 'tam_adi': 'hakaret yollu', 'kisa_adi': 'hkr.', 'ekno': '49'}]}]","[{'madde_id': '40005', 'madde': 'it ağzını kemik tutar', 'on_taki': None}, {'madde_id': '40006', 'madde': 'it değmekle deniz pis olmaz', 'on_taki': None}, {'madde_id': '40007', 'madde': 'it derisinden post olmaz', 'on_taki': None}, {'madde_id': '40008', 'madde': 'it dişi domuz derisi', 'on_taki': None}, {'madde_id': '40014', 'madde': 'ite atsan yemez', 'on_taki': None}, {'madde_id': '40015', 'madde': 'ite ot, ata et vermek', 'on_taki': None}, {'madde_id': '40009', 'madde': 'it gibi çalışmak', 'on_taki': None}, {'madde_id': '40016', 'madde': 'iti an, taşı eline al (veya çomağı hazırla)', 'on_taki': None}, {'madde_id': '40024', 'madde': 'iti ite kırdırmak', 'on_taki': None}, {'madde_id': '40017', 'madde': 'itin ahmağı baklavadan pay umar', 'on_taki': None}, {'madde_id': '40027', 'madde': 'itin götüne (veya kıçına) sokmak', 'on_taki': None}, {'madde_id': '40028', 'madde': 'itin kuyruğunda', 'on_taki': None}, {'madde_id': '40026', 'madde': 'iti öldürene sürütürler', 'on_taki': None}, {'madde_id': '40010', 'madde': 'it ite (buyurur), it de kuyruğuna', 'on_taki': None}, {'madde_id': '40025', 'madde': 'it iti ısırmaz', 'on_taki': None}, {'madde_id': '40011', 'madde': 'it izi at izine karışmak', 'on_taki': None}, {'madde_id': '40018', 'madde': 'it kağnı gölgesinde yürür de kendi gölgesi sanırmış', 'on_taki': None}, {'madde_id': '40020', 'madde': 'itle çuvala girilmez', 'on_taki': None}, {'madde_id': '40023', 'madde': 'itle dalaşmaktan çalıyı dolaşmak yeğdir', 'on_taki': None}, {'madde_id': '40019', 'madde': 'it ölüsü gibi', 'on_taki': None}, {'madde_id': '40021', 'madde': 'it sürü, para kazan', 'on_taki': None}, {'madde_id': '40022', 'madde': 'it ulur, birbirini bulur', 'on_taki': None}, {'madde_id': '40013', 'madde': 'it ürür, kervan yürür', 'on_taki': None}]"
40013,0,25891,9,0,,"it ürür, kervan yürür",0,1,,0,0,0,,,,,"it urur, kervan yurur",,"[{'anlam_id': '44917', 'madde_id': '40013', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': '`gerçekleşmesi doğal olan işler engellenemez` anlamında kullanılan bir söz', 'gos': '0'}]","[{'madde_id': '40005', 'madde': 'it ağzını kemik tutar', 'on_taki': None}, {'madde_id': '40006', 'madde': 'it değmekle deniz pis olmaz', 'on_taki': None}, {'madde_id': '40007', 'madde': 'it derisinden post olmaz', 'on_taki': None}, {'madde_id': '40008', 'madde': 'it dişi domuz derisi', 'on_taki': None}, {'madde_id': '40014', 'madde': 'ite atsan yemez', 'on_taki': None}, {'madde_id': '40015', 'madde': 'ite ot, ata et vermek', 'on_taki': None}, {'madde_id': '40009', 'madde': 'it gibi çalışmak', 'on_taki': None}, {'madde_id': '40016', 'madde': 'iti an, taşı eline al (veya çomağı hazırla)', 'on_taki': None}, {'madde_id': '40024', 'madde': 'iti ite kırdırmak', 'on_taki': None}, {'madde_id': '40017', 'madde': 'itin ahmağı baklavadan pay umar', 'on_taki': None}, {'madde_id': '40027', 'madde': 'itin götüne (veya kıçına) sokmak', 'on_taki': None}, {'madde_id': '40028', 'madde': 'itin kuyruğunda', 'on_taki': None}, {'madde_id': '40026', 'madde': 'iti öldürene sürütürler', 'on_taki': None}, {'madde_id': '40010', 'madde': 'it ite (buyurur), it de kuyruğuna', 'on_taki': None}, {'madde_id': '40025', 'madde': 'it iti ısırmaz', 'on_taki': None}, {'madde_id': '40011', 'madde': 'it izi at izine karışmak', 'on_taki': None}, {'madde_id': '40018', 'madde': 'it kağnı gölgesinde yürür de kendi gölgesi sanırmış', 'on_taki': None}, {'madde_id': '40020', 'madde': 'itle çuvala girilmez', 'on_taki': None}, {'madde_id': '40023', 'madde': 'itle dalaşmaktan çalıyı dolaşmak yeğdir', 'on_taki': None}, {'madde_id': '40019', 'madde': 'it ölüsü gibi', 'on_taki': None}, {'madde_id': '40021', 'madde': 'it sürü, para kazan', 'on_taki': None}, {'madde_id': '40012', 'madde': 'it sürüsü kadar', 'on_taki': None}, {'madde_id': '40022', 'madde': 'it ulur, birbirini bulur', 'on_taki': None}]"
40014,0,25891,10,0,,ite atsan yemez,0,1,,0,0,0,,,,,ite atsan yemez,,"[{'anlam_id': '44918', 'madde_id': '40014', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': '`çok kötü, berbat` anlamında kullanılan bir söz', 'gos': '0'}]","[{'madde_id': '40005', 'madde': 'it ağzını kemik tutar', 'on_taki': None}, {'madde_id': '40006', 'madde': 'it değmekle deniz pis olmaz', 'on_taki': None}, {'madde_id': '40007', 'madde': 'it derisinden post olmaz', 'on_taki': None}, {'madde_id': '40008', 'madde': 'it dişi domuz derisi', 'on_taki': None}, {'madde_id': '40015', 'madde': 'ite ot, ata et vermek', 'on_taki': None}, {'madde_id': '40009', 'madde': 'it gibi çalışmak', 'on_taki': None}, {'madde_id': '40016', 'madde': 'iti an, taşı eline al (veya çomağı hazırla)', 'on_taki': None}, {'madde_id': '40024', 'madde': 'iti ite kırdırmak', 'on_taki': None}, {'madde_id': '40017', 'madde': 'itin ahmağı baklavadan pay umar', 'on_taki': None}, {'madde_id': '40027', 'madde': 'itin götüne (veya kıçına) sokmak', 'on_taki': None}, {'madde_id': '40028', 'madde': 'itin kuyruğunda', 'on_taki': None}, {'madde_id': '40026', 'madde': 'iti öldürene sürütürler', 'on_taki': None}, {'madde_id': '40010', 'madde': 'it ite (buyurur), it de kuyruğuna', 'on_taki': None}, {'madde_id': '40025', 'madde': 'it iti ısırmaz', 'on_taki': None}, {'madde_id': '40011', 'madde': 'it izi at izine karışmak', 'on_taki': None}, {'madde_id': '40018', 'madde': 'it kağnı gölgesinde yürür de kendi gölgesi sanırmış', 'on_taki': None}, {'madde_id': '40020', 'madde': 'itle çuvala girilmez', 'on_taki': None}, {'madde_id': '40023', 'madde': 'itle dalaşmaktan çalıyı dolaşmak yeğdir', 'on_taki': None}, {'madde_id': '40019', 'madde': 'it ölüsü gibi', 'on_taki': None}, {'madde_id': '40021', 'madde': 'it sürü, para kazan', 'on_taki': None}, {'madde_id': '40012', 'madde': 'it sürüsü kadar', 'on_taki': None}, {'madde_id': '40022', 'madde': 'it ulur, birbirini bulur', 'on_taki': None}, {'madde_id': '40013', 'madde': 'it ürür, kervan yürür', 'on_taki': None}]"
