madde_id,kac,kelime_no,cesit,anlam_gor,on_taki,madde,cesit_say,anlam_say,taki,cogul_mu,ozel_mi,lisan_kodu,lisan,telaffuz,birlesikler,font,madde_duz,gosterim_tarihi,anlamlarListe,atasozu
1,0,14800,0,0,,dulavrat otu,0,1,,0,0,0,,,,,dulavrat otu,,"[{'anlam_id': '25840', 'madde_id': '1', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Birleşikgillerden, hekimlikte kullanılan bir bitki (Arctium tomentosum)', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '41', 'tur': '1', 'tam_adi': 'bitki bilimi', 'kisa_adi': 'bit. b.', 'ekno': '90'}]}]",
2,0,14801,0,0,,dulda,1,2,,0,0,0,,,,,dulda,,"[{'anlam_id': '25841', 'madde_id': '2', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Yağmur, güneş ve rüzgârın etkileyemediği gizli, kuytu yer, siper', 'gos': '0', 'orneklerListe': [{'ornek_id': '667', 'anlam_id': '25841', 'ornek_sira': '1', 'ornek': 'Demirkır, güney tepelerinin duldalarına çektiği atları gece yarısına doğru yeniden ovaya indirdi.', 'kac': '1', 'yazar_id': '62', 'yazar': [{'yazar_id': '62', 'tam_adi': 'Abbas Sayar', 'kisa_adi': 'A. Sayar', 'ekno': '199'}]}], 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '33', 'tur': '4', 'tam_adi': 'halk ağzında', 'kisa_adi': 'hlk.', 'ekno': '44'}]}, {'anlam_id': '25842', 'madde_id': '2', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'Esirgeme, koruma, himaye', 'gos': '0', 'orneklerListe': [{'ornek_id': '668', 'anlam_id': '25842', 'ornek_sira': '1', 'ornek': 'Yiğit duldasında yiğit saklanır.', 'kac': '1', 'yazar_id': '5', 'yazar': [{'yazar_id': '5', 'tam_adi': 'Karacaoğlan', 'kisa_adi': 'Karacaoğlan', 'ekno': '130'}]}], 'ozelliklerListe': [{'ozellik_id': '32', 'tur': '4', 'tam_adi': 'mecaz', 'kisa_adi': 'mec.', 'ekno': '43'}]}]","[{'madde_id': '3', 'madde': 'dulda tutmak', 'on_taki': None}]"
3,0,14801,1,0,,dulda tutmak,0,1,,0,0,0,,,,,dulda tutmak,2022-11-07,"[{'anlam_id': '25843', 'madde_id': '3', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'örtünmek, koruyacak biçimde sarınmak', 'gos': '0', 'orneklerListe': [{'ornek_id': '669', 'anlam_id': '25843', 'ornek_sira': '1', 'ornek': 'Bulgar dağında yatarım / Yorganı dulda tutarım', 'kac': '1', 'yazar_id': '38', 'yazar': [{'yazar_id': '38', 'tam_adi': 'Halk türküsü', 'kisa_adi': 'Halk türküsü', 'ekno': '169'}]}]}]",
4,0,14802,0,0,,duldalama,0,1,,0,0,0,,,,,duldalama,,"[{'anlam_id': '25844', 'madde_id': '4', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Duldalamak işi', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
5,0,14803,0,0,,duldalamak,0,1,,0,0,0,,,,,duldalamak,,"[{'anlam_id': '25845', 'madde_id': '5', 'anlam_sira': '1', 'fiil': '1', 'tipkes': '0', 'anlam': 'Korumak, siper altına almak', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '22', 'tur': '3', 'tam_adi': '-i', 'kisa_adi': '-i', 'ekno': '33'}]}]",
6,0,14804,0,0,,duldalanma,0,1,,0,0,0,,,,,duldalanma,,"[{'anlam_id': '25846', 'madde_id': '6', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Duldalanmak işi', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
7,0,14805,0,0,,duldalanmak,0,1,,0,0,0,,,,,duldalanmak,,"[{'anlam_id': '25847', 'madde_id': '7', 'anlam_sira': '1', 'fiil': '1', 'tipkes': '0', 'anlam': 'Korumak, siper altına girmek', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '23', 'tur': '3', 'tam_adi': 'nesnesiz', 'kisa_adi': 'nsz.', 'ekno': '34'}]}]",
8,0,14806,0,0,,duldalı,0,1,,0,0,0,,,,,duldali,,"[{'anlam_id': '25848', 'madde_id': '8', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Duldası olan', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}]}]",
9,0,14807,0,0,,duldasız,0,1,,0,0,0,,,,,duldasiz,,"[{'anlam_id': '25849', 'madde_id': '9', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Duldası olmayan', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}]}]",
10,0,14808,0,0,,dulluk,0,1,ğu,0,0,0,,,,,dulluk,,"[{'anlam_id': '25850', 'madde_id': '10', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Dul olma durumu', 'gos': '0', 'orneklerListe': [{'ornek_id': '670', 'anlam_id': '25850', 'ornek_sira': '1', 'ornek': 'İlk kez kiralık bir evde yaşayacaktı, dulluğun ve geçim sıkıntısının ne demek olduğunu öğrenecekti.', 'kac': '1', 'yazar_id': '212', 'yazar': [{'yazar_id': '212', 'tam_adi': 'Ayşe Kulin', 'kisa_adi': 'A. Kulin', 'ekno': '437'}]}], 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
11,0,14809,0,0,,duluk,0,4,ğu,0,0,0,,,,,duluk,,"[{'anlam_id': '25851', 'madde_id': '11', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Yüz', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '33', 'tur': '4', 'tam_adi': 'halk ağzında', 'kisa_adi': 'hlk.', 'ekno': '44'}]}, {'anlam_id': '25852', 'madde_id': '11', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'Şakak', 'gos': '0'}, {'anlam_id': '25853', 'madde_id': '11', 'anlam_sira': '3', 'fiil': '0', 'tipkes': '0', 'anlam': 'Yüzün şakakla çene arasındaki yanı', 'gos': '0'}, {'anlam_id': '25854', 'madde_id': '11', 'anlam_sira': '4', 'fiil': '0', 'tipkes': '0', 'anlam': 'Şakak üzerinde saç ile sakalın birleşimi olan kısım, favori', 'gos': '0'}]",
12,0,14810,0,0,,Duma,0,1,,0,1,22,Rusça,,,,Duma,,"[{'anlam_id': '25855', 'madde_id': '12', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Rus parlamentosunun alt kanadı', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
13,0,14811,0,0,,dumağı,0,1,,0,0,0,,,,,dumagi,,"[{'anlam_id': '25856', 'madde_id': '13', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Nezle', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '33', 'tur': '4', 'tam_adi': 'halk ağzında', 'kisa_adi': 'hlk.', 'ekno': '44'}]}]",
14,0,14812,0,0,,duman,10,4,,0,0,0,,,"duman rengi, dumanı üstünde, buzlu duman, işi duman, kör duman, toz duman, vapurdumanı",,duman,,"[{'anlam_id': '25857', 'madde_id': '14', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Bir maddenin yanması ile çıkan ve içinde katı zerrelerle buğu bulunan değişik renklerde gaz', 'gos': '0', 'orneklerListe': [{'ornek_id': '671', 'anlam_id': '25857', 'ornek_sira': '1', 'ornek': 'Emin ol ki her sigara yakışta / Daha duman tüter tütmez ordayım', 'kac': '1', 'yazar_id': '85', 'yazar': [{'yazar_id': '85', 'tam_adi': 'Bekir Sıtkı Erdoğan', 'kisa_adi': 'B. S. Erdoğan', 'ekno': '225'}]}], 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}, {'anlam_id': '25858', 'madde_id': '14', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'Havalanan tozların veya sisin oluşturduğu bulanıklık', 'gos': '0', 'orneklerListe': [{'ornek_id': '672', 'anlam_id': '25858', 'ornek_sira': '1', 'ornek': 'Köyünün üstüne boz bir duman çökmüştü.', 'kac': '1', 'yazar_id': '127', 'yazar': [{'yazar_id': '127', 'tam_adi': 'Yaşar Kemal', 'kisa_adi': 'Y. Kemal', 'ekno': '282'}]}]}, {'anlam_id': '25859', 'madde_id': '14', 'anlam_sira': '3', 'fiil': '0', 'tipkes': '0', 'anlam': 'Kötü, yaman', 'gos': '0', 'orneklerListe': [{'ornek_id': '673', 'anlam_id': '25859', 'ornek_sira': '1', 'ornek': 'İşimiz duman. Hâlimiz duman.', 'kac': '1', 'yazar_id': '0'}], 'ozelliklerListe': [{'ozellik_id': '30', 'tur': '4', 'tam_adi': 'argo', 'kisa_adi': 'argo', 'ekno': '41'}]}, {'anlam_id': '25860', 'madde_id': '14', 'anlam_sira': '4', 'fiil': '0', 'tipkes': '0', 'anlam': 'Esrar', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '30', 'tur': '4', 'tam_adi': 'argo', 'kisa_adi': 'argo', 'ekno': '41'}]}]","[{'madde_id': '24', 'madde': 'dumana boğmak', 'on_taki': None}, {'madde_id': '15', 'madde': 'duman almak', 'on_taki': None}, {'madde_id': '16', 'madde': 'duman altı etmek', 'on_taki': None}, {'madde_id': '17', 'madde': 'duman altı olmak', 'on_taki': None}, {'madde_id': '18', 'madde': 'duman attırmak', 'on_taki': None}, {'madde_id': '19', 'madde': 'duman etmek', 'on_taki': None}, {'madde_id': '22', 'madde': 'dumanı doğru çıksın', 'on_taki': None}, {'madde_id': '23', 'madde': 'dumanı tepesinden çıkmak', 'on_taki': None}, {'madde_id': '20', 'madde': 'duman olmak', 'on_taki': None}, {'madde_id': '21', 'madde': 'duman vermek', 'on_taki': None}]"
15,0,14812,1,0,,duman almak,0,2,,0,0,0,,,,,duman almak,,"[{'anlam_id': '25861', 'madde_id': '15', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'sis kaplamak, sis bürümek', 'gos': '0'}, {'anlam_id': '25862', 'madde_id': '15', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'sigara dumanını içine çekmek', 'gos': '0'}]","[{'madde_id': '24', 'madde': 'dumana boğmak', 'on_taki': None}, {'madde_id': '16', 'madde': 'duman altı etmek', 'on_taki': None}, {'madde_id': '17', 'madde': 'duman altı olmak', 'on_taki': None}, {'madde_id': '18', 'madde': 'duman attırmak', 'on_taki': None}, {'madde_id': '19', 'madde': 'duman etmek', 'on_taki': None}, {'madde_id': '22', 'madde': 'dumanı doğru çıksın', 'on_taki': None}, {'madde_id': '23', 'madde': 'dumanı tepesinden çıkmak', 'on_taki': None}, {'madde_id': '20', 'madde': 'duman olmak', 'on_taki': None}, {'madde_id': '21', 'madde': 'duman vermek', 'on_taki': None}]"
16,0,14812,2,0,,duman altı etmek,0,1,,0,0,0,,,,,duman alti etmek,,"[{'anlam_id': '25863', 'madde_id': '16', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'bulunulan yerin havasını esrar, sigara vb. dumanıyla doldurmak', 'gos': '0'}]","[{'madde_id': '24', 'madde': 'dumana boğmak', 'on_taki': None}, {'madde_id': '15', 'madde': 'duman almak', 'on_taki': None}, {'madde_id': '17', 'madde': 'duman altı olmak', 'on_taki': None}, {'madde_id': '18', 'madde': 'duman attırmak', 'on_taki': None}, {'madde_id': '19', 'madde': 'duman etmek', 'on_taki': None}, {'madde_id': '22', 'madde': 'dumanı doğru çıksın', 'on_taki': None}, {'madde_id': '23', 'madde': 'dumanı tepesinden çıkmak', 'on_taki': None}, {'madde_id': '20', 'madde': 'duman olmak', 'on_taki': None}, {'madde_id': '21', 'madde': 'duman vermek', 'on_taki': None}]"
17,0,14812,3,0,,duman altı olmak,0,1,,0,0,0,,,,,duman alti olmak,,"[{'anlam_id': '25864', 'madde_id': '17', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'esrar, sigara vb. içilen bir yerin havasından etkilenmek', 'gos': '0'}]","[{'madde_id': '24', 'madde': 'dumana boğmak', 'on_taki': None}, {'madde_id': '15', 'madde': 'duman almak', 'on_taki': None}, {'madde_id': '16', 'madde': 'duman altı etmek', 'on_taki': None}, {'madde_id': '18', 'madde': 'duman attırmak', 'on_taki': None}, {'madde_id': '19', 'madde': 'duman etmek', 'on_taki': None}, {'madde_id': '22', 'madde': 'dumanı doğru çıksın', 'on_taki': None}, {'madde_id': '23', 'madde': 'dumanı tepesinden çıkmak', 'on_taki': None}, {'madde_id': '20', 'madde': 'duman olmak', 'on_taki': None}, {'madde_id': '21', 'madde': 'duman vermek', 'on_taki': None}]"
18,0,14812,4,0,,duman attırmak,0,1,,0,0,0,,,,,duman attirmak,,"[{'anlam_id': '25865', 'madde_id': '18', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'kötü duruma düşürmek, geride bırakmak, birini yıldırmak', 'gos': '0', 'orneklerListe': [{'ornek_id': '674', 'anlam_id': '25865', 'ornek_sira': '1', 'ornek': 'Ama yerine göre karşısına dikilenlere de duman attırır.', 'kac': '1', 'yazar_id': '8', 'yazar': [{'yazar_id': '8', 'tam_adi': 'Reşat Nuri Güntekin', 'kisa_adi': 'R. N. Güntekin', 'ekno': '133'}]}], 'ozelliklerListe': [{'ozellik_id': '30', 'tur': '4', 'tam_adi': 'argo', 'kisa_adi': 'argo', 'ekno': '41'}]}]","[{'madde_id': '24', 'madde': 'dumana boğmak', 'on_taki': None}, {'madde_id': '15', 'madde': 'duman almak', 'on_taki': None}, {'madde_id': '16', 'madde': 'duman altı etmek', 'on_taki': None}, {'madde_id': '17', 'madde': 'duman altı olmak', 'on_taki': None}, {'madde_id': '19', 'madde': 'duman etmek', 'on_taki': None}, {'madde_id': '22', 'madde': 'dumanı doğru çıksın', 'on_taki': None}, {'madde_id': '23', 'madde': 'dumanı tepesinden çıkmak', 'on_taki': None}, {'madde_id': '20', 'madde': 'duman olmak', 'on_taki': None}, {'madde_id': '21', 'madde': 'duman vermek', 'on_taki': None}]"
19,0,14812,5,0,,duman etmek,0,2,,0,0,0,,,,,duman etmek,,"[{'anlam_id': '25866', 'madde_id': '19', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'dağıtmak, bozmak, yok etmek', 'gos': '0', 'orneklerListe': [{'ornek_id': '675', 'anlam_id': '25866', 'ornek_sira': '1', 'ornek': 'Ortalığı duman görür, duman etmek isterdi.', 'kac': '1', 'yazar_id': '1', 'yazar': [{'yazar_id': '1', 'tam_adi': 'Sait Faik Abasıyanık', 'kisa_adi': 'S. F. Abasıyanık', 'ekno': '8'}]}], 'ozelliklerListe': [{'ozellik_id': '30', 'tur': '4', 'tam_adi': 'argo', 'kisa_adi': 'argo', 'ekno': '41'}]}, {'anlam_id': '25867', 'madde_id': '19', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'yenmek, başarı sağlamak', 'gos': '0'}]","[{'madde_id': '24', 'madde': 'dumana boğmak', 'on_taki': None}, {'madde_id': '15', 'madde': 'duman almak', 'on_taki': None}, {'madde_id': '16', 'madde': 'duman altı etmek', 'on_taki': None}, {'madde_id': '17', 'madde': 'duman altı olmak', 'on_taki': None}, {'madde_id': '18', 'madde': 'duman attırmak', 'on_taki': None}, {'madde_id': '22', 'madde': 'dumanı doğru çıksın', 'on_taki': None}, {'madde_id': '23', 'madde': 'dumanı tepesinden çıkmak', 'on_taki': None}, {'madde_id': '20', 'madde': 'duman olmak', 'on_taki': None}, {'madde_id': '21', 'madde': 'duman vermek', 'on_taki': None}]"
20,0,14812,6,0,,duman olmak,0,2,,0,0,0,,,,,duman olmak,,"[{'anlam_id': '25868', 'madde_id': '20', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'işi, durumu berbat olmak', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '30', 'tur': '4', 'tam_adi': 'argo', 'kisa_adi': 'argo', 'ekno': '41'}]}, {'anlam_id': '25869', 'madde_id': '20', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'bir kimse veya bir şey ortadan kaybolmak', 'gos': '0'}]","[{'madde_id': '24', 'madde': 'dumana boğmak', 'on_taki': None}, {'madde_id': '15', 'madde': 'duman almak', 'on_taki': None}, {'madde_id': '16', 'madde': 'duman altı etmek', 'on_taki': None}, {'madde_id': '17', 'madde': 'duman altı olmak', 'on_taki': None}, {'madde_id': '18', 'madde': 'duman attırmak', 'on_taki': None}, {'madde_id': '19', 'madde': 'duman etmek', 'on_taki': None}, {'madde_id': '22', 'madde': 'dumanı doğru çıksın', 'on_taki': None}, {'madde_id': '23', 'madde': 'dumanı tepesinden çıkmak', 'on_taki': None}, {'madde_id': '21', 'madde': 'duman vermek', 'on_taki': None}]"
21,0,14812,7,0,,duman vermek,0,2,,0,0,0,,,,,duman vermek,,"[{'anlam_id': '25870', 'madde_id': '21', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'çok duman çıkarmak', 'gos': '0'}, {'anlam_id': '25871', 'madde_id': '21', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'ortalığı karıştırmak', 'gos': '0', 'orneklerListe': [{'ornek_id': '676', 'anlam_id': '25871', 'ornek_sira': '1', 'ornek': 'Sonra sen gazetende istediğin gibi ver dumanı.', 'kac': '1', 'yazar_id': '34', 'yazar': [{'yazar_id': '34', 'tam_adi': 'Attila İlhan', 'kisa_adi': 'A. İlhan', 'ekno': '165'}]}], 'ozelliklerListe': [{'ozellik_id': '32', 'tur': '4', 'tam_adi': 'mecaz', 'kisa_adi': 'mec.', 'ekno': '43'}]}]","[{'madde_id': '24', 'madde': 'dumana boğmak', 'on_taki': None}, {'madde_id': '15', 'madde': 'duman almak', 'on_taki': None}, {'madde_id': '16', 'madde': 'duman altı etmek', 'on_taki': None}, {'madde_id': '17', 'madde': 'duman altı olmak', 'on_taki': None}, {'madde_id': '18', 'madde': 'duman attırmak', 'on_taki': None}, {'madde_id': '19', 'madde': 'duman etmek', 'on_taki': None}, {'madde_id': '22', 'madde': 'dumanı doğru çıksın', 'on_taki': None}, {'madde_id': '23', 'madde': 'dumanı tepesinden çıkmak', 'on_taki': None}, {'madde_id': '20', 'madde': 'duman olmak', 'on_taki': None}]"
22,0,14812,8,0,,dumanı doğru çıksın,0,1,,0,0,0,,,,,dumani dogru ciksin,,"[{'anlam_id': '25872', 'madde_id': '22', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': '`iyi ve güzel olmasa bile yönteme uygun olsun` anlamında kullanılan bir söz', 'gos': '0'}]","[{'madde_id': '24', 'madde': 'dumana boğmak', 'on_taki': None}, {'madde_id': '15', 'madde': 'duman almak', 'on_taki': None}, {'madde_id': '16', 'madde': 'duman altı etmek', 'on_taki': None}, {'madde_id': '17', 'madde': 'duman altı olmak', 'on_taki': None}, {'madde_id': '18', 'madde': 'duman attırmak', 'on_taki': None}, {'madde_id': '19', 'madde': 'duman etmek', 'on_taki': None}, {'madde_id': '23', 'madde': 'dumanı tepesinden çıkmak', 'on_taki': None}, {'madde_id': '20', 'madde': 'duman olmak', 'on_taki': None}, {'madde_id': '21', 'madde': 'duman vermek', 'on_taki': None}]"
23,0,14812,9,0,,dumanı tepesinden çıkmak,0,1,,0,0,0,,,,,dumani tepesinden cikmak,,"[{'anlam_id': '25873', 'madde_id': '23', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'çok öfkelenmek', 'gos': '0'}]","[{'madde_id': '24', 'madde': 'dumana boğmak', 'on_taki': None}, {'madde_id': '15', 'madde': 'duman almak', 'on_taki': None}, {'madde_id': '16', 'madde': 'duman altı etmek', 'on_taki': None}, {'madde_id': '17', 'madde': 'duman altı olmak', 'on_taki': None}, {'madde_id': '18', 'madde': 'duman attırmak', 'on_taki': None}, {'madde_id': '19', 'madde': 'duman etmek', 'on_taki': None}, {'madde_id': '22', 'madde': 'dumanı doğru çıksın', 'on_taki': None}, {'madde_id': '20', 'madde': 'duman olmak', 'on_taki': None}, {'madde_id': '21', 'madde': 'duman vermek', 'on_taki': None}]"
